name,location,bedrooms,bathrooms,property_type,price_range,url,agency,detailed_address,city,state,area,country,zip_code,number_of_guests,property_status,maps_url,latitude,longitude,airbnb_url,rating
Uluwatu Modern Boho Villa Near Nyang Nyang Beach,"Jl. Batu Nunggul No.1, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Beds: 2,Baths: 2,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",$258 per 2 nights,https://www.bukitvista.com/property/uluwatu-modern-boho-villa-near-nyang-nyang-beach-2,Agus Weda,,,,,,,,,,,,https://www.airbnb.com/rooms/1287975372353817564,4.4
Bingin Beach Hideaway: Group Villa with Pool & BBQ,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Beds: 3,Baths: 3,"Amazing pool, Island life, Pool view, Surfing, Tropical, Villa",Starting from USD 161 per night,https://www.bukitvista.com/property/bingin-beach-hideaway-group-villa-with-pool-amp-bbq,Bukit Vista,"Jl. Pantai Cemongkak Gg. Samuh Sari No.2, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Bingin,Indonesia,80361,6,"Bali Vacation Rental, Group Friendly Stay, Long Stay Trend Property, New Listing, Private, Private Pool, Top Trending","http://maps.google.com/?q=Jl.%20Pantai%20Cemongkak%20Gg.%20Samuh%20Sari%20No.2,%20Pecatu,%20Kec.%20Kuta%20Sel.,%20Kabupaten%20Badung,%20Bali%2080361",,,https://www.airbnb.com/rooms/1201807361024443576,
4-Bedroom Mediterranean Luxury Villa with Ubud Rooftop View,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali 80571",Beds: 4,Baths: 4,"Amazing pool, Amazing View, Jungle View, Pool view, Tropical, Villa",USD 202 / Night,https://www.bukitvista.com/property/mediterranean-luxury-villa-ubud-rooftop,Bukit Vista,"Jl. Suweta, Ubud, Kecamatan Ubud, Kabupaten Gianyar, Bali",Bali,Bali,Ubud,Indonesia,80571,8,"Bali Vacation Rental, Group Friendly Stay, Instagramable Stay, Long Stay Trend Property, Private, Private Pool, Top Trending","http://maps.google.com/?q=Jl.%20Suweta,%20Ubud,%20Kecamatan%20Ubud,%20Kabupaten%20Gianyar,%20Bali%2080571",-8.500216,115.2647786,https://www.airbnb.com/rooms/1338046513545783704,5.0
Luxurious 3-Bedroom Nusa Dua Seafront Villa w/ Private Beach,,Beds: 3,Baths: 4,"Beachfront, Villa",Starting from USD 715 per 2 nights,https://www.bukitvista.com/property/nusa-dua-seafront-villa,Konang,"Jl. Raya Nusa Dua Selatan, Sawangan, Nusa Dua, Kabupaten Badung, Bali 80363",Bali,Bali,Nusa Dua,Indonesia,80363,6,"Bali Vacation Rental, Top Trending",,,,https://www.airbnb.com/rooms/945876?check_in=2024-09-25&check_out=2024-09-27&guests=1&adults=1&s=67&unique_share_id=f60fc983-8eb1-43bd-9b7f-5e7f4741cb7a,4.84
Grand Villa Retreat w/ Pool & Garden in Ungasan,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",Beds: 2,Baths: 2,"Amazing pool, Golfing, Pool view, Villa",Starting from USD 84 per night,https://www.bukitvista.com/property/grand-villa-retreat-w-pool-amp-garden-in-ungasan,Bukit Vista,"Jl. Pantai Balangan I No.9x, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Balangan,Indonesia,80361,4,"Group Friendly Stay, Long Stay Trend Property, New Listing, Private Pool, Top Trending","http://maps.google.com/?q=Jl.%20Pantai%20Balangan%20I%20No.9x,%20Ungasan,%20Kec.%20Kuta%20Sel.,%20Kabupaten%20Badung,%20Bali%2080361",,,https://www.airbnb.com/rooms/1229763427554175376,4.7
Surfer’s Villa 4 Mins to Bingin & Dreamland Beach by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2.5,"Pool view, Villa",Starting from USD 118 per night,https://www.bukitvista.com/property/surfers-villa-4-mins-to-bingin-dreamland-beach-by-bukit-vista,Bukit Vista,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Pecatu,Indonesia,80361,4,"Long Stay Trend Property, New Listing, Private Pool, Top Trending","http://maps.google.com/?q=Pecatu,%20Kuta%20Selatan,%20Badung,%20Bali,%20Nusa%20Tenggara,%20Indonesia",-8.8266671,115.1149608,https://www.airbnb.com/rooms/1233018763697938157?guests=1&adults=1&s=67&unique_share_id=8815d454-0f2a-432b-be77-7ab9aa57bf95,4.57
Private Pool Villa Minutes from Bingin Surf Haven by Bukit Vista,"Pecatu, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2,"Pool view, Villa",Starting from USD 165 per night,https://www.bukitvista.com/property/private-pool-villa-minutes-from-bingin-surf-haven-by-bukit-vista,Bukit Vista,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Pecatu,Indonesia,80361,4,"Long Stay Trend Property, New Listing, Private Pool, Top Trending","http://maps.google.com/?q=Pecatu,%20Kuta%20Selatan,%20Badung,%20Bali,%20Nusa%20Tenggara,%20Indonesia",-8.8266671,115.1149608,https://www.airbnb.com/rooms/1233018763697938157?guests=1&adults=1&s=67&unique_share_id=8815d454-0f2a-432b-be77-7ab9aa57bf95,4.57
Ungasan Exquisite Villa w/ Rooftop & Private Pool by Bukit Vista,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",Beds: 3,Baths: 3.5,"Amazing pool, Golfing, Surfing, Tropical, Villa",Starting from USD 167 per night,https://www.bukitvista.com/property/ungasan-exquisite-villa-w-rooftop-amp-private-pool-by-bukit-vista,Bukit Vista,"Jl. Pesakapan Indah No.9, Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali",Bali,Bali,Ungasan,Indonesia,80361,6,"Group Friendly Stay, New Listing, Private Pool, Top Trending","http://maps.google.com/?q=Ungasan,%20Kuta%20Selatan,%20Badung,%20Bali,%20Nusa%20Tenggara,%20Indonesia",-8.8274318,115.1568933,https://bit.ly/good-juju-wp-2,
Sun-Soaked Canggu Villa Perfect for Families,"Tibubeneng, Kuta Utara, Badung, Bali, Nusa Tenggara, Indonesia",Beds: 2,Baths: 2,Villa,Starting from USD 100 per night,https://www.bukitvista.com/property/sun-soaked-canggu-villa-perfect-for-families,Bukit Vista,"Tibubeneng, Kuta Utara, Badung, Bali",Bali,Bali,Canggu,Indonesia,80361,4,"New Listing, Private Pool, Top Trending","http://maps.google.com/?q=Tibubeneng,%20Kuta%20Utara,%20Badung,%20Bali,%20Nusa%20Tenggara,%20Indonesia",-8.6451772,115.1519964,https://www.airbnb.com/rooms/1288923770271872874?guests=1&adults=1&s=67&unique_share_id=fe3c5e89-bf3f-4f77-92e4-b592c269fb6d,4.25
Sunny Exquisite Umalas Villa: 20 Minutes to Canggu,,Beds: 2,Baths: 2,"Guest House, Villa",Starting from USD 108 per night,https://www.bukitvista.com/property/sunny-exquisite-umalas-villa-20-minutes-to-canggu,Bukit Vista,Jl. Umalas Klecung No.34,Bali,Bali,Umalas,Indonesia,80571,4,Bali Vacation Rental,,,,https://www.airbnb.com/rooms/1208290833353341055/details/photo-tour,4.57
